flight_number,employee_id,role,position
TU500,TU-P001,captain,Left Seat
TU500,TU-FO001,first_officer,Right Seat
TU500,TU-CC001,cabin_chief,Position 1
TU500,TU-FA001,flight_attendant,Position 2
TU500,TU-FA002,flight_attendant,Position 3
TU501,TU-P002,captain,Left Seat
TU501,TU-FO002,first_officer,Right Seat
TU501,TU-CC002,cabin_chief,Position 1
TU501,TU-FA004,flight_attendant,Position 2
TU501,TU-FA005,flight_attendant,Position 3
TU501,TU-FA007,flight_attendant,Position 4
TU502,TU-P003,captain,Left Seat
TU502,TU-FO003,first_officer,Right Seat
TU502,TU-CC003,cabin_chief,Position 1
TU502,TU-FA008,flight_attendant,Position 2
TU502,TU-FA009,flight_attendant,Position 3
TU502,TU-FA011,flight_attendant,Position 4
TU503,TU-P004,captain,Left Seat
TU503,TU-FO004,first_officer,Right Seat
TU503,TU-CC001,cabin_chief,Position 1
TU503,TU-FA012,flight_attendant,Position 2
TU503,TU-FA013,flight_attendant,Position 3
TU504,TU-P001,captain,Left Seat
TU504,TU-FO005,first_officer,Right Seat
TU504,TU-CC002,cabin_chief,Position 1
TU504,TU-FA002,flight_attendant,Position 2
TU504,TU-FA003,flight_attendant,Position 3
TU504,TU-FA004,flight_attendant,Position 4
TU505,TU-P002,captain,Left Seat
TU505,TU-FO001,first_officer,Right Seat
TU505,TU-CC003,cabin_chief,Position 1
TU505,TU-FA005,flight_attendant,Position 2
TU505,TU-FA007,flight_attendant,Position 3
TU505,TU-FA008,flight_attendant,Position 4
TU506,TU-P003,captain,Left Seat
TU506,TU-FO002,first_officer,Right Seat
TU506,TU-CC001,cabin_chief,Position 1
TU506,TU-FA009,flight_attendant,Position 2
TU506,TU-FA011,flight_attendant,Position 3
TU507,TU-P004,captain,Left Seat
TU507,TU-FO003,first_officer,Right Seat
TU507,TU-CC002,cabin_chief,Position 1
TU507,TU-FA013,flight_attendant,Position 2
TU507,TU-FA001,flight_attendant,Position 3
TU507,TU-FA002,flight_attendant,Position 4
TU508,TU-P001,captain,Left Seat
TU508,TU-FO004,first_officer,Right Seat
TU508,TU-CC003,cabin_chief,Position 1
TU508,TU-FA003,flight_attendant,Position 2
TU508,TU-FA004,flight_attendant,Position 3
TU508,TU-FA005,flight_attendant,Position 4
TU509,TU-P002,captain,Left Seat
TU509,TU-FO005,first_officer,Right Seat
TU509,TU-CC001,cabin_chief,Position 1
TU509,TU-FA007,flight_attendant,Position 2
TU509,TU-FA008,flight_attendant,Position 3
TU510,TU-P003,captain,Left Seat
TU510,TU-FO001,first_officer,Right Seat
TU510,TU-CC002,cabin_chief,Position 1
TU510,TU-FA011,flight_attendant,Position 2
TU510,TU-FA012,flight_attendant,Position 3
TU510,TU-FA013,flight_attendant,Position 4
TU511,TU-P004,captain,Left Seat
TU511,TU-FO002,first_officer,Right Seat
TU511,TU-CC003,cabin_chief,Position 1
TU511,TU-FA001,flight_attendant,Position 2
TU511,TU-FA002,flight_attendant,Position 3
TU511,TU-FA003,flight_attendant,Position 4
TU512,TU-P001,captain,Left Seat
TU512,TU-FO003,first_officer,Right Seat
TU512,TU-CC001,cabin_chief,Position 1
TU512,TU-FA004,flight_attendant,Position 2
TU512,TU-FA005,flight_attendant,Position 3
TU513,TU-P002,captain,Left Seat
TU513,TU-FO004,first_officer,Right Seat
TU513,TU-CC002,cabin_chief,Position 1
TU513,TU-FA008,flight_attendant,Position 2
TU513,TU-FA009,flight_attendant,Position 3
TU513,TU-FA011,flight_attendant,Position 4
TU514,TU-P003,captain,Left Seat
TU514,TU-FO005,first_officer,Right Seat
TU514,TU-CC003,cabin_chief,Position 1
TU514,TU-FA012,flight_attendant,Position 2
TU514,TU-FA013,flight_attendant,Position 3
TU514,TU-FA001,flight_attendant,Position 4
TU515,TU-P004,captain,Left Seat
TU515,TU-FO001,first_officer,Right Seat
TU515,TU-CC001,cabin_chief,Position 1
TU515,TU-FA002,flight_attendant,Position 2
TU515,TU-FA003,flight_attendant,Position 3
TU516,TU-P001,captain,Left Seat
TU516,TU-FO002,first_officer,Right Seat
TU516,TU-CC002,cabin_chief,Position 1
TU516,TU-FA005,flight_attendant,Position 2
TU516,TU-FA007,flight_attendant,Position 3
TU516,TU-FA008,flight_attendant,Position 4
TU517,TU-P002,captain,Left Seat
TU517,TU-FO003,first_officer,Right Seat
TU517,TU-CC003,cabin_chief,Position 1
TU517,TU-FA009,flight_attendant,Position 2
TU517,TU-FA011,flight_attendant,Position 3
TU517,TU-FA012,flight_attendant,Position 4
TU518,TU-P003,captain,Left Seat
TU518,TU-FO004,first_officer,Right Seat
TU518,TU-CC001,cabin_chief,Position 1
TU518,TU-FA013,flight_attendant,Position 2
TU518,TU-FA001,flight_attendant,Position 3
TU519,TU-P004,captain,Left Seat
TU519,TU-FO005,first_officer,Right Seat
TU519,TU-CC002,cabin_chief,Position 1
TU519,TU-FA003,flight_attendant,Position 2
TU519,TU-FA004,flight_attendant,Position 3
TU519,TU-FA005,flight_attendant,Position 4
TU520,TU-P001,captain,Left Seat
TU520,TU-FO001,first_officer,Right Seat
TU520,TU-CC003,cabin_chief,Position 1
TU520,TU-FA007,flight_attendant,Position 2
TU520,TU-FA008,flight_attendant,Position 3
TU520,TU-FA009,flight_attendant,Position 4
TU521,TU-P002,captain,Left Seat
TU521,TU-FO002,first_officer,Right Seat
TU521,TU-CC001,cabin_chief,Position 1
TU521,TU-FA011,flight_attendant,Position 2
TU521,TU-FA012,flight_attendant,Position 3
TU522,TU-P003,captain,Left Seat
TU522,TU-FO003,first_officer,Right Seat
TU522,TU-CC002,cabin_chief,Position 1
TU522,TU-FA001,flight_attendant,Position 2
TU522,TU-FA002,flight_attendant,Position 3
TU522,TU-FA003,flight_attendant,Position 4
TU523,TU-P004,captain,Left Seat
TU523,TU-FO004,first_officer,Right Seat
TU523,TU-CC003,cabin_chief,Position 1
TU523,TU-FA004,flight_attendant,Position 2
TU523,TU-FA005,flight_attendant,Position 3
TU523,TU-FA007,flight_attendant,Position 4
TU524,TU-P001,captain,Left Seat
TU524,TU-FO005,first_officer,Right Seat
TU524,TU-CC001,cabin_chief,Position 1
TU524,TU-FA008,flight_attendant,Position 2
TU524,TU-FA009,flight_attendant,Position 3
TU525,TU-P002,captain,Left Seat
TU525,TU-FO001,first_officer,Right Seat
TU525,TU-CC002,cabin_chief,Position 1
TU525,TU-FA012,flight_attendant,Position 2
TU525,TU-FA013,flight_attendant,Position 3
TU525,TU-FA001,flight_attendant,Position 4
TU526,TU-P003,captain,Left Seat
TU526,TU-FO002,first_officer,Right Seat
TU526,TU-CC003,cabin_chief,Position 1
TU526,TU-FA002,flight_attendant,Position 2
TU526,TU-FA003,flight_attendant,Position 3
TU526,TU-FA004,flight_attendant,Position 4
TU527,TU-P004,captain,Left Seat
TU527,TU-FO003,first_officer,Right Seat
TU527,TU-CC001,cabin_chief,Position 1
TU527,TU-FA005,flight_attendant,Position 2
TU527,TU-FA007,flight_attendant,Position 3
TU528,TU-P001,captain,Left Seat
TU528,TU-FO004,first_officer,Right Seat
TU528,TU-CC002,cabin_chief,Position 1
TU528,TU-FA009,flight_attendant,Position 2
TU528,TU-FA011,flight_attendant,Position 3
TU528,TU-FA012,flight_attendant,Position 4
TU529,TU-P002,captain,Left Seat
TU529,TU-FO005,first_officer,Right Seat
TU529,TU-CC003,cabin_chief,Position 1
TU529,TU-FA013,flight_attendant,Position 2
TU529,TU-FA001,flight_attendant,Position 3
TU529,TU-FA002,flight_attendant,Position 4
TU530,TU-P003,captain,Left Seat
TU530,TU-FO001,first_officer,Right Seat
TU530,TU-CC001,cabin_chief,Position 1
TU530,TU-FA003,flight_attendant,Position 2
TU530,TU-FA004,flight_attendant,Position 3
TU531,TU-P004,captain,Left Seat
TU531,TU-FO002,first_officer,Right Seat
TU531,TU-CC002,cabin_chief,Position 1
TU531,TU-FA007,flight_attendant,Position 2
TU531,TU-FA008,flight_attendant,Position 3
TU531,TU-FA009,flight_attendant,Position 4
TU532,TU-P001,captain,Left Seat
TU532,TU-FO003,first_officer,Right Seat
TU532,TU-CC003,cabin_chief,Position 1
TU532,TU-FA011,flight_attendant,Position 2
TU532,TU-FA012,flight_attendant,Position 3
TU532,TU-FA013,flight_attendant,Position 4
TU533,TU-P002,captain,Left Seat
TU533,TU-FO004,first_officer,Right Seat
TU533,TU-CC001,cabin_chief,Position 1
TU533,TU-FA001,flight_attendant,Position 2
TU533,TU-FA002,flight_attendant,Position 3
TU534,TU-P003,captain,Left Seat
TU534,TU-FO005,first_officer,Right Seat
TU534,TU-CC002,cabin_chief,Position 1
TU534,TU-FA004,flight_attendant,Position 2
TU534,TU-FA005,flight_attendant,Position 3
TU534,TU-FA007,flight_attendant,Position 4
TU535,TU-P004,captain,Left Seat
TU535,TU-FO001,first_officer,Right Seat
TU535,TU-CC003,cabin_chief,Position 1
TU535,TU-FA008,flight_attendant,Position 2
TU535,TU-FA009,flight_attendant,Position 3
TU535,TU-FA011,flight_attendant,Position 4
TU536,TU-P001,captain,Left Seat
TU536,TU-FO002,first_officer,Right Seat
TU536,TU-CC001,cabin_chief,Position 1
TU536,TU-FA012,flight_attendant,Position 2
TU536,TU-FA013,flight_attendant,Position 3
TU537,TU-P002,captain,Left Seat
TU537,TU-FO003,first_officer,Right Seat
TU537,TU-CC002,cabin_chief,Position 1
TU537,TU-FA002,flight_attendant,Position 2
TU537,TU-FA003,flight_attendant,Position 3
TU537,TU-FA004,flight_attendant,Position 4
TU538,TU-P003,captain,Left Seat
TU538,TU-FO004,first_officer,Right Seat
TU538,TU-CC003,cabin_chief,Position 1
TU538,TU-FA005,flight_attendant,Position 2
TU538,TU-FA007,flight_attendant,Position 3
TU538,TU-FA008,flight_attendant,Position 4
TU539,TU-P004,captain,Left Seat
TU539,TU-FO005,first_officer,Right Seat
TU539,TU-CC001,cabin_chief,Position 1
TU539,TU-FA009,flight_attendant,Position 2
TU539,TU-FA011,flight_attendant,Position 3
TU540,TU-P001,captain,Left Seat
TU540,TU-FO001,first_officer,Right Seat
TU540,TU-CC002,cabin_chief,Position 1
TU540,TU-FA013,flight_attendant,Position 2
TU540,TU-FA001,flight_attendant,Position 3
TU540,TU-FA002,flight_attendant,Position 4
TU541,TU-P002,captain,Left Seat
TU541,TU-FO002,first_officer,Right Seat
TU541,TU-CC003,cabin_chief,Position 1
TU541,TU-FA003,flight_attendant,Position 2
TU541,TU-FA004,flight_attendant,Position 3
TU541,TU-FA005,flight_attendant,Position 4
TU542,TU-P003,captain,Left Seat
TU542,TU-FO003,first_officer,Right Seat
TU542,TU-CC001,cabin_chief,Position 1
TU542,TU-FA007,flight_attendant,Position 2
TU542,TU-FA008,flight_attendant,Position 3
TU543,TU-P004,captain,Left Seat
TU543,TU-FO004,first_officer,Right Seat
TU543,TU-CC002,cabin_chief,Position 1
TU543,TU-FA011,flight_attendant,Position 2
TU543,TU-FA012,flight_attendant,Position 3
TU543,TU-FA013,flight_attendant,Position 4
