flight_number,aircraft_registration,origin,destination,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,status,gate,delay_minutes,passengers_booked
TU600,TS-IOC,Sfax,Doha,2025-10-01 06:19:00,2025-10-01 10:48:00,2025-10-01 06:19:00,2025-10-01 11:06:00,landed,C7,0,112
TU601,TS-IOB,Djerba,Milan,2025-10-01 09:42:00,2025-10-01 10:52:00,,,delayed,A16,45,138
TU602,TS-IOD,Enfidha,Algiers,2025-10-01 10:05:00,2025-10-01 12:19:00,,,delayed,C23,30,77
TU603,TS-IMB,Tunis,Brussels,2025-10-01 12:13:00,2025-10-01 13:22:00,2025-10-01 12:18:00,2025-10-01 13:25:00,landed,A15,5,72
TU604,TS-IOB,Tunis,Munich,2025-10-01 14:02:00,2025-10-01 17:17:00,2025-10-01 14:17:00,2025-10-01 17:29:00,landed,B4,15,157
TU605,TS-IOA,Tunis,London,2025-10-01 14:36:00,2025-10-01 17:31:00,2025-10-01 14:36:00,2025-10-01 17:48:00,landed,B5,0,155
TU606,TS-IME,Monastir,Venice,2025-10-01 14:49:00,2025-10-01 15:53:00,2025-10-01 14:49:00,2025-10-01 15:59:00,landed,D7,0,107
TU607,TS-IOD,Enfidha,Madrid,2025-10-01 18:35:00,2025-10-01 21:48:00,2025-10-01 18:35:00,2025-10-01 21:51:00,landed,A15,0,138
TU608,TS-IOA,Monastir,Barcelona,2025-10-01 19:22:00,2025-10-01 22:36:00,2025-10-01 19:27:00,2025-10-01 22:50:00,landed,B16,5,153
TU609,TS-IMB,Tunis,Zurich,2025-10-01 21:27:00,2025-10-01 22:49:00,2025-10-01 21:27:00,2025-10-01 22:48:00,landed,A17,0,146
TU610,TS-IOE,Sfax,Madrid,2025-10-02 07:23:00,2025-10-02 10:33:00,2025-10-02 07:23:00,2025-10-02 10:49:00,landed,B8,0,168
TU611,TS-IMF,Tunis,Tripoli,2025-10-02 07:46:00,2025-10-02 09:38:00,2025-10-02 08:01:00,2025-10-02 09:45:00,landed,C5,15,154
TU612,TS-IME,Enfidha,Munich,2025-10-02 12:17:00,2025-10-02 14:31:00,2025-10-02 12:32:00,2025-10-02 14:31:00,landed,C24,15,109
TU613,TS-IMC,Djerba,Brussels,2025-10-02 12:28:00,2025-10-02 14:30:00,2025-10-02 12:28:00,2025-10-02 14:40:00,landed,A6,0,144
TU614,TS-IME,Monastir,Brussels,2025-10-02 13:37:00,2025-10-02 15:34:00,,,delayed,C15,30,123
TU615,TS-IMD,Enfidha,Munich,2025-10-02 14:12:00,2025-10-02 16:39:00,,,delayed,D7,45,124
TU616,TS-IOA,Tunis,Nice,2025-10-02 14:33:00,2025-10-02 16:04:00,2025-10-02 14:33:00,2025-10-02 16:14:00,landed,A20,0,94
TU617,TS-IMF,Tunis,Milan,2025-10-02 17:40:00,2025-10-02 19:08:00,2025-10-02 17:45:00,2025-10-02 19:13:00,landed,D2,5,146
TU618,TS-IME,Tunis,Geneva,2025-10-02 18:36:00,2025-10-02 20:33:00,2025-10-02 18:46:00,2025-10-02 20:30:00,landed,B7,10,139
TU619,TS-IOA,Sfax,Abu Dhabi,2025-10-02 18:41:00,2025-10-02 22:04:00,2025-10-02 18:46:00,2025-10-02 22:13:00,landed,B22,5,159
TU620,TS-IMD,Djerba,Doha,2025-10-02 19:45:00,2025-10-03 00:30:00,2025-10-02 19:55:00,2025-10-03 00:29:00,landed,C3,10,43
TU621,TS-IOD,Monastir,Madrid,2025-10-02 20:54:00,2025-10-03 00:17:00,2025-10-02 21:09:00,2025-10-03 00:27:00,landed,C11,15,89
TU622,TS-IOB,Sfax,Amsterdam,2025-10-02 21:35:00,2025-10-03 00:36:00,2025-10-02 21:50:00,2025-10-03 00:43:00,landed,C1,15,119
TU623,TS-IMB,Monastir,Madrid,2025-10-03 07:06:00,2025-10-03 10:29:00,2025-10-03 07:06:00,2025-10-03 10:31:00,landed,D21,0,95
TU624,TS-IMF,Sfax,Marseille,2025-10-03 08:00:00,2025-10-03 09:38:00,2025-10-03 08:05:00,2025-10-03 09:49:00,landed,C5,5,73
TU625,TS-IMD,Sfax,Rome,2025-10-03 09:51:00,2025-10-03 12:14:00,2025-10-03 09:51:00,2025-10-03 12:16:00,landed,B11,0,137
TU626,TS-IOA,Sfax,Cairo,2025-10-03 11:43:00,2025-10-03 16:39:00,2025-10-03 11:48:00,2025-10-03 16:57:00,landed,D6,5,153
TU627,TS-IMC,Sfax,Algiers,2025-10-03 11:51:00,2025-10-03 12:54:00,,,delayed,C2,20,145
TU628,TS-IMF,Sfax,Marseille,2025-10-03 13:42:00,2025-10-03 14:50:00,2025-10-03 13:42:00,2025-10-03 14:55:00,landed,C11,0,97
TU629,TS-IOD,Enfidha,Cairo,2025-10-03 14:00:00,2025-10-03 18:48:00,2025-10-03 14:00:00,2025-10-03 18:57:00,landed,A20,0,154
TU630,TS-IOA,Tunis,Lyon,2025-10-03 14:33:00,2025-10-03 15:36:00,2025-10-03 14:43:00,2025-10-03 15:38:00,landed,D8,10,154
TU631,TS-IMB,Tunis,Frankfurt,2025-10-03 14:59:00,2025-10-03 17:33:00,2025-10-03 14:59:00,2025-10-03 17:41:00,landed,D12,0,142
TU632,TS-IMF,Tunis,Munich,2025-10-03 17:35:00,2025-10-03 20:27:00,2025-10-03 17:40:00,2025-10-03 20:24:00,landed,D1,5,51
TU633,TS-IMB,Tunis,Lyon,2025-10-03 17:41:00,2025-10-03 18:55:00,2025-10-03 17:46:00,2025-10-03 19:04:00,landed,C5,5,91
TU634,TS-IOE,Sfax,Barcelona,2025-10-03 18:18:00,2025-10-03 20:54:00,2025-10-03 18:28:00,2025-10-03 20:53:00,landed,B12,10,56
TU635,TS-IMF,Sfax,Zurich,2025-10-03 19:26:00,2025-10-03 20:35:00,2025-10-03 19:36:00,2025-10-03 20:34:00,landed,B1,10,67
TU636,TS-IOB,Sfax,Lyon,2025-10-03 20:50:00,2025-10-03 22:52:00,,,delayed,B3,15,80
TU637,TS-IME,Sfax,Doha,2025-10-03 21:34:00,2025-10-04 02:18:00,2025-10-03 21:39:00,2025-10-04 02:35:00,landed,A6,5,123
